ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001748316-19-000042	101	EMERGING MARKETS SMALL CAP FUND, A SERIES OF 525 MARKET STREET FUND, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0000941031-19-000005	101	GRAHAM ALTERNATIVE INVESTMENT FUND I LLC	Timothy Sperry	Timothy Sperry	CCO, GRAHAM CAPITAL MANAGEMENT LP, AS MANAGER	2019-03-29
0001732820-19-000001	101	AxiomSL Group, Inc.	/s/ Eyal Amsalem	Eyal Amsalem	Chief Administrative Officer	2019-03-29
0001567619-19-007800	101	U. S. REAL ESTATE INCOME & GROWTH DIRECT, LP	/s/Christian P. Porwoll	Christian P. Porwoll	Authorized Signatory of I&G Manager, LLC, General Partner	2019-03-29
0001013594-19-000298	101	683 Capital Partners Offshore, Ltd.	/s/ Joseph Patt	Joseph Patt	Director	2019-03-29
0000941031-19-000004	101	GRAHAM GLOBAL INVESTMENT FUND II SPC LTD	Timothy Sperry	TIMOTHY SPERRY	ASSISTANT SECRETARY	2019-03-29
0001438197-19-000001	101	BLUE PILLAR, INC	Thomas J. Willie, III	Thomas J. Willie, III	CEO and Secretary	2019-03-29
0000941031-19-000003	101	GRAHAM GLOBAL INVESTMENT FUND I SPC LTD	Timothy Sperry	TIMOTHY SPERRY	ASSISTANT SECRETARY	2019-03-29
0000941031-19-000002	101	Graham Absolute Return Trading Ltd.	Timothy Sperry	Timothy Sperry	Assistant Secretary	2019-03-29
0001730900-19-000001	101	Rocking Inc.	/s/Mladan Djankovich	Mladen Djankovich	President	2019-03-28
0000941031-19-000001	101	Graham Absolute Return Ltd.	Timothy Sperry	Timothy Sperry	Assistant Secretary	2019-03-29
0001378675-19-000002	101	Steel Canyon Partners L P	Brett D. Huckelbridge	Brett D. Huckelbridge	Manager of Steel Canyon Investments, LLC, General Partner	2019-03-29
0001013594-19-000297	101	StoneHawk Master Fund, LP	/s/ Scott Selby	Scott Selby	Principal of the General Partner of the Issuer	2019-03-29
0000950142-19-000658	101	Roark Diversified Restaurant Fund II LP	/s/ Paul D. Ginsberg	Paul D. Ginsberg	Executive Officer of the General Partner of the Issuer	2019-03-29
0001742364-19-000001	101	Cypress Global Hedged Equity, LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001772185-19-000002	101	Invesco Fixed Income Trust Jennison Intermediate Fund	/s/Leslie A. Schmidt	Leslie A. Schmidt	President	2019-03-01
0001546614-19-000001	101	Cypress Domestic Equity Low Vol II, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001465493-19-000001	101	CYPRESS DOMESTIC EQUITY LOW VOL, LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001479624-19-000001	101	Cypress Debt Investment Funds, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0000943663-19-000076	101	Blue Ocean Onshore Fund LP	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001603940-19-000001	101	CYPRESS DEBT FUND-KING STREET, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001674709-19-000001	101	Cypress Core Real Estate Fund, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001772196-19-000001	101	MPC SC 2019 MY5, LLC	George L. Strobel II	George L. Strobel II	Executive Director	2019-03-29
0001712341-19-000001	101	Rodeo Therapeutics Corp	/s/ Thong Q. Le	Thong Q. Le	President & CEO	2019-03-29
0001355283-19-000001	101	Cypress Alternative Partners II LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001465496-19-000001	101	Cypress Alternative Funds,LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001751548-19-000001	101	Rockstar Capital Development Group, LP	/Brandon Rooks/	Brandon Rooks	Manager	2019-03-29
0001545900-19-000002	101	Swedan Investment Fund, LLC	Mark M Swedan	Mark M Swedan	Managing Member	2019-03-29
0001675780-19-000002	101	Weatherlow Alpha Strategies Fund L.P.	Kenneth A. Meister	Kenneth A. Meister	Principal of the General Partner	2019-03-29
0001686956-19-000002	101	Feminina Group, Inc.	Alisa Won	Alisa Won	Attorney-in-fact	2019-03-29
0001772197-19-000001	101	MPC WI Badger Lofts ICF, LLC	George L. Strobel II	George L. Strobel II	Executive Director	2019-03-29
0001735278-19-000001	101	Evolution Credit Partners I (Cayman), L.P.	/s/ Rene J. Canezin	Rene J. Canezin	President of the GP of the Issuer	2019-03-29
0001735252-19-000001	101	Evolution Credit Partners I, L.P.	/s/ Rene J. Canezin	Rene J. Canezin	President of the GP of the GP of the Issuer	2019-03-29
0001615727-19-000001	101	2124 Brewing Co LLC	Ryan Bove	Ryan Bove	President	2019-03-29
0001013594-19-000296	101	TREXQUANT OFFSHORE FUND LTD.	/s/ Taesoon (Tyger) Park	Taesoon (Tyger) Park	Director	2019-03-29
0001013594-19-000295	101	TREXQUANT ONSHORE FUND LP	/s/ Taesoon (Tyger) Park	Taesoon (Tyger) Park	Managing Member of the General Partner	2019-03-29
0001675780-19-000001	101	Black Diamond Credit Strategies Offshore, Ltd.	Stephen H. Deckoff	Stephen H. Deckoff	Managing Principal of the Adviser	2019-03-29
0001771484-19-000001	101	Global Safety Management, Inc.	/s/ Julia MacGregor-Peralta	Julia MacGregor-Peralta	Chief Executive Officer, President and Secretary	2019-03-29
0001735730-19-000001	101	Providence Heights I, LP	Matthew Schutzman	Matthew Schutzman	Managing Member	2019-03-29
0000896200-19-000001	101	SIGMA PARTNERS L P	Michael D. Young	Michael D. Young	General Partner	2019-03-29
0000902664-19-001712	101	Good Hill Municipal Bond Opportunity Overseas Fund Ltd	/s/ Franklin J. Collins IV	Franklin J. Collins IV	Director	2019-03-29
0000902664-19-001711	101	Good Hill Municipal Bond Opportunity Fund LP	/s/ William Hauf	William Hauf	Senior Managing Director, CFO, COO of the Investment Manager	2019-03-29
0000945621-19-000135	101	Matthews Asia Institutional Funds, LLC - Japan Opportunities Series	/s/ John David Kast	John David Kast	Global Head of Risk and Compliance	2019-03-22
0000902664-19-001710	101	HSI Wine Cellar III Co-Investment (1), L.P.	/s/ Angel David Ariaz	Angel David Ariaz	Director of the General Partner	2019-03-29
0000945621-19-000134	101	Matthews Asia Institutional Funds, LLC - China A Share Series	/s/ John David Kast	John David Kast	Global Head of Risk and Compliance	2019-03-22
0001772020-19-000001	101	Subeca, Inc.	Don E. Whitson	Don E. Whitson	Chief Executive Officer	2019-03-29
0001603607-19-000001	101	Abbey Capital Daily Futures Fund Ltd	/s/ Peter Carney	Peter Carney	Director	2019-03-29
0001493152-19-004182	101	12 Retech Corp	/s/ Angelo Ponzetta, CEO	Angelo Ponzetta	Chief Executive Officer	2019-03-29
0001771978-19-000001	101	Scarab Tech Inc	Simon David Charles Davis	Simon David Charles Davis	Secretary	2019-03-29
0001768136-19-000002	101	FINEX ASIA GLOBAL FINTECH SPC - FINEX ASIA MARKETPLACE CREDIT FUND SP	Robert Lock Yen Cheung	Robert Lock Yen Cheung	Authorized Signatory	2019-03-28
0000902664-19-001709	101	ChapelGate Credit Opportunity Fund, LP	/s/ John Young	John Young	Director of the General Partner	2019-03-29
0000902664-19-001707	101	Trend Macro Onshore LP	/s/ Ashwin Vasan	Ashwin Vasan	Manager of the General Partner	2019-03-29
0000902664-19-001706	101	Trend Macro Offshore Ltd.	/s/ Ashwin Vasan	Ashwin Vasan	Director	2019-03-29
0000902664-19-001705	101	Rye Bay European Fund LP	/s/ Bryan Darroch	Bryan Darroch	Director of the General Partner	2019-03-29
0001144204-19-016771	101	Felicitas Debt Fund, LP	/s/ Bonar Chhay	Bonar Chhay	Managing Partner of Issuer's General Partner	2019-03-28
0001701896-19-000001	101	Global Alpha International Small Cap Fund LP	Warren Stoddart	Warren Stoddart	Director of the Sole Member/Manager of the GP of Issuer	2019-03-28
0001768135-19-000002	101	FINEX ASIA INCLINE FUND LTD	Robert Lock Yen Cheung	Robert Lock Yen Cheung	Director	2019-03-28
0001771948-19-000001	101	Alpha Edison Westwood II-A, L.L.C.	/s/ Nate Redmond	Nate Redmond	Managing Member of the Managing Member of the Issuer	2019-03-28
0001767379-19-000001	101	Liwa Core Associates (U.S.), L.P.	/s/ Hashim Kudsi	Hashim Kudsi	Director of the General Partner	2019-03-28
0001767379-19-000001	102	Liwa Core Associates (Cayman), L.P.	/s/ Hashim Kudsi	Hashim Kudsi	Director of the General Partner	2019-03-28
0001669744-19-000002	101	SNARF NETWORKS, LLC	Pete Estler	Pete Estler	Chief Executive Officer	2019-03-28
0001771486-19-000001	101	Tacit Capital Fund LP - Series 2018B	Benjamin Mahdavi	Benjamin Mahdavi	Managing Member of the Issuer's General Partner	2019-03-28
0001771508-19-000001	101	Tacit Capital Fund, LP - Series F1	Benjamin Mahdavi	Benjamin Mahdavi	Managing Member of the Issuer's General Partner	2019-03-28
0001771477-19-000001	101	Tacit Capital Fund, LP - Series FX1	Benjamin Mahdavi	Benjamin Mahdavi	Managing Member of the Issuer's General Partner	2019-03-28
0001772230-19-000001	101	Redmile Biopharma Investments II, L.P.	Rachel Chang	Rachel Chang	General Counsel of the Management Company	2019-03-28
0001771475-19-000001	101	Tacit Capital Fund, LP - Series J2	Benjamin Mahdavi	Benjamin Mahdavi	Managing Member of the Issuer's General Partner	2019-03-28
0001737974-19-000001	101	Guesty, Inc.	Amiad Soto	Amiad Soto	CEO	2019-03-28
0001771479-19-000001	101	Tacit Capital Fund, LP - Series J1	Benjamin Mahdavi	Benjamin Mahdavi	Managing Member of the Issuer's General Partner	2019-03-28
0001771480-19-000001	101	Tacit Capital Fund, LP - Series PJ1	Benjamin Mahdavi	Benjamin Mahdavi	Managing Member of the Issuer's General Partner	2019-03-28
0001771405-19-000001	101	CENTRAL PROCESSORS INC.	John Vavalo	John Vavalo	CEO	2019-03-28
0000935836-19-000204	101	REMY CAPITAL PARTNERS L P	Mark S. Siegel	Mark S. Siegel	President of REMY Investors and Consultants Incorporated, GP	2019-03-28
0001768090-19-000002	101	Elsewhere Partners BG, LP	/s/ Chris Pacitti	Chris Pacitti	Manager of the General Partner of the General Partner	2019-03-28
0001668966-19-000001	101	SFC Funding, LP	Jamie Barrett	Jamie Barrett	Chief Compliance Officer	2019-03-28
0000935836-19-000203	101	REMY CAPITAL PARTNERS II L P	Mark S. Siegel	Mark S. Siegel	Manager of REMY Investors and Consultants Incorporated, GP	2019-03-28
0000935836-19-000202	101	REMY CAPITAL PARTNERS III L P	Mark S. Siegel	Mark S. Siegel	Manager of REMY Investors and Consultants Incorporated, GP	2019-03-28
0001771987-19-000001	101	SOA Labs, Inc.	Alex Tkachuk	Alex Tkachuk	CEO	2019-03-28
0001567619-19-007796	101	Newlight Technologies, Inc.	/s/ Markus D. Herrema	Markus D. Herrema	Chief Executive Officer	2019-03-28
0001183740-19-000045	101	iANTHUS CAPITAL HOLDINGS, INC.	/s/ Julius Kalcevich	JULIUS KALCEVICH	CHIEF FINANCIAL OFFICER	2019-03-28
0001771945-19-000001	101	Betaworks Ventures 2.0, LP	/s/ John Borthwick	John Borthwick	Managing Member of the General Partner of the Issuer	2019-03-28
0000950142-19-000651	101	HPS Special Situations Opportunity Offshore Fund, L.P.	/s/ Faith Rosenfeld	Faith Rosenfeld	CAO of the GP of the GP of the Issuer	2019-03-28
0000950142-19-000650	101	HPS Special Situations Opportunity Fund, L.P.	/s/ Faith Rosenfeld	Faith Rosenfeld	CAO of the GP of the GP of the Issuer	2019-03-28
0001772204-19-000001	101	CIP Equity Funds Partners VII, LLC	W. Porter Payne, Jr.	William Porter Payne, Jr.	Mgr of Mgr of Mgr of Issuer	2019-03-28
0001771527-19-000001	101	GSP TP FUND, L.P.	/S/ MATTHEW PERELMAN	MATTHEW PERELMAN	MANAGER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001708928-19-000001	101	Xealth Inc.	Michael McSherry	Michael McSherry	Chief Executive Officer	2019-03-28
0001655326-19-000001	101	Constellation Fund, SPC, for & on behalf of its Equities IV Segregated Portfolio	Alex Rodrigues	Alex Rodrigues	Director	2019-03-28
0001733521-19-000001	101	OEP VII FEEDER (INDIVIDUAL OFFSHORE), L.P.	/S/ DAVID HAN	DAVID HAN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001733520-19-000001	101	OEP VII FEEDER (INDIVIDUAL U.S.), L.P.	/S/ DAVID HAN	DAVID HAN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001733528-19-000001	101	ONE EQUITY PARTNERS VII-B, L.P.	/S/ DAVID HAN	DAVID HAN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001733525-19-000001	101	ONE EQUITY PARTNERS VII-A, L.P.	/S/ DAVID HAN	DAVID HAN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001733523-19-000001	101	ONE EQUITY PARTNERS VII, L.P.	/S/ DAVID HAN	DAVID HAN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001772187-19-000001	101	Virta Ventures SPV I, LP	/s/ Russell Sprole	Russell Sprole	Managing Member of the General Partner of the Issuer	2019-03-28
0001769091-19-000001	101	Rocket Dollar Inc	/s/ T. Henry Yoshida	T. Henry Yoshida	CEO	2019-03-28
0001771642-19-000001	101	Ecosystem Integrity Fund III-A, L.P.	/s/C. Devin Whatley	C. Devin Whatley	Managing Member of the General Partner	2019-03-28
0001771840-19-000001	101	Buttonwood Beacon Fund LLC Series C-1	/S/ STEPHAN A. STEIN	Stephan A. Stein	Mgr of sole mbr of Manager	2019-03-27
0000950142-19-000647	101	SRPO-II Partners I, LP	/s/ Ryan A. Turner	Ryan A. Turner	Manager of the Ultimate General Partner of the Issuer	2019-03-28
0001185185-19-000427	101	BioSig Technologies, Inc.	/s/ Steve Chaussy	Steve Chaussy	Chief Financial Officer	2019-03-28
0001567619-19-007788	101	Liquidity Capital II, L.P.	/s/ Scott D. Fisher	Scott D. Fisher	Power of Attorney	2019-03-28
0001771530-19-000004	101	Green Nonce Capital, LLC	Shyam Kamadolli	Shyam Kamadolli	Managing Member, Green Nonce Management Co, Advisor to Filer	2019-03-28
0001699211-19-000001	101	BQS SYSTEMATIC EQUITIES, LP	J. Paul Austin, III	J. PAUL AUSTIN, III	MANAGER OF GENERAL PARTNER	2019-03-28
0001315863-19-000297	101	Hillsdale Global Performance Equity Fund	/s/Ian Rhoden	Ian Rhoden	CCO & VP of Compliance	2019-03-28
0001771530-19-000003	101	Green Nonce Capital, LLC	Shyam Kamadolli	Shyam Kamadolli	Managing Member, Green Nonce Management Co, Advisor to Filer	2019-03-28
0001769929-19-000001	101	Affinity CW Academy, LLC	Ryan James Schaefer	Ryan James Schaefer	Affinity CW Academy, LLC Manager	2019-03-28
0001772189-19-000001	101	Adaptive Fund I, LP	/s/Murad Mahmudov	Murad Mahmudov	Manager of General Partner	2019-03-28
0001771530-19-000002	101	Green Nonce Capital, LLC	Shyam Kamadolli	Shyam Kamadolli	Managing Member, Green Nonce Management Co, Advisor to Filer	2019-03-28
0001772210-19-000002	101	TITAN OPPORTUNITY FUND LLC	Kevin T. Caiaccio	Kevin T. Caiaccio	Attorney in Fact	2019-03-28
0000947871-19-000244	101	Impossible Foods Inc.	/s/ Dana R. Wagner	Dana R. Wagner	Corporate Secretary and Chief Legal Officer	2019-03-27
0001766816-19-000001	101	CSL Flagstaff Seniors Housing C, LP	Doug Conner	Doug Conner	Managing Director	2019-03-28
0001721952-19-000001	101	CRC Management Collector, LLC	JILL LEVINE BRADFORD	JILL LEVINE BRADFORD	GENERAL COUNSEL AND SECRETARY	2019-03-28
0001213900-19-005104	101	LiveWell Canada Inc.	/s/ Steven Archambault	Steven Archambault	CFO	2019-03-28
0001405086-19-000097	101	AQR Global Risk Premium Offshore Fund (GBP) Ltd.	/s/Matthew S. Eisenberg	Matthew S. Eisenberg	Attorney-In-Fact for the Issuer	2019-03-28
0001405086-19-000096	101	AQR Style Premia U.S. Long Only Equity Beta 1 Fund, L.P.	/s/Matthew S. Eisenberg	Matthew S. Eisenberg	Attorney-In-Fact for the Issuer	2019-03-28
0001562555-19-000001	101	Corinth Capital Fund I, LP	Jonas Schaefer	Jonas Schaefer	Principal of Issuer's General Partner	2019-03-28
0001405086-19-000095	101	AQR Style Premia U.S. Long Only Equity Beta 1 Fund, L.P.	/s/Matthew S. Eisenberg	Matthew S. Eisenberg	Attorney-In-Fact for the Issuer	2019-03-28
0001405086-19-000094	101	AQR TAX-AWARE DELPHI LONG SHORT EQUITY FUND, LLC	/s/Matthew S. Eisenberg	Matthew S. Eisenberg	Attorney-In-Fact for the Issuer	2019-03-28
0001744296-19-000001	101	Broken Shed Distilleries, Inc.	/s/ Samuel A. Brown	Samuel A. Brown	Executive Chairman	2019-03-28
0001764223-19-000018	101	GEPIF III Side Car T, L.P.	Matthew Raben	Matthew Raben	Managing Director of GP of sole member of GP of Issuer	2019-03-27
0001764165-19-000001	101	INCLINE ELEVATE FUND A, L.P.	/S/ JOHN C. GLOVER	JOHN C. GLOVER	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001764020-19-000001	101	INCLINE ELEVATE FUND, L.P.	/S/ JOHN C. GLOVER	JOHN C. GLOVER	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2019-03-28
0001771523-19-000001	101	ATWOOD RESTAURANT LLC	KEVIN HENRY	KEVIN HENRY	MANAGER	2019-03-28
0001772205-19-000001	101	Decisive Ventures Private Fund I (Cayman), LP	/s/ Brian Smith	Brian Smith	Manager of the General Partner of the Issuer	2019-03-26
0001415889-19-000398	101	Las Olas Capital Real Estate Fund 1 LLC	/s/ Paul C. Tanner	Paul C. Tanner	Authorized Signatory	2019-03-28
0001456345-19-000005	101	HIGHWOOD CAPITAL PARTNERS LP	/s/ Robert V. Banker	Robert V. Banker	Managing Member of the General Partner	2019-03-28
0001701882-19-000003	101	CC&L Q Global Equity Market Neutral Fund LP	/s/ Warren Stoddart	Warren Stoddart	Director of the Sole Member/Manager of the GP of the Issuer	2019-03-28
0001771530-19-000001	101	Green Nonce Capital, LLC	Shyam Kamadolli	Shyam Kamadolli	Managing Member, Green Nonce Management Co, Advisor to Filer	2019-03-28
0001701883-19-000003	101	CC&L Q Emerging Markets Equity Fund LP	/s/ Warren Stoddart	Warren Stoddart	Director of the Sole Member/Manager of the GP of the Issuer	2019-03-28
0001772139-19-000001	101	MM Inflection, L.P.	/s/ Venky Ganesan	Venky Ganesan	A Managing Member of the General Partner	2019-03-28
0001567619-19-007782	101	LIVEWORLD, INC.	/s/ David Houston	David Houston	Chief Financial Officer	2019-03-27
0001772162-19-000001	101	Putting America Back to Work Fund, LP	/s/ Ryan Craig	Ryan Craig	Managing Member of the General Partner	2019-03-27
0001315863-19-000296	101	FOREST HILL SELECT FUND, L.P.	/s/ Mark A. Lee	Mark A. Lee	Managing Member of Forest Hill Capital, L.L.C.	2019-03-28
0001690633-19-000004	101	Phoenician Offshore Fund Ltd.	JOSEPH RIVERA	JOSEPH RIVERA	CHIEF FINANCIAL OFFICER	2019-03-28
0001315863-19-000295	101	Fir Tree Capital Opportunity Fund III (Non-US), L.P.	/s/ Brian A. Meyer	Brian A. Meyer	Director of the General Partner of the Issuer	2019-03-28
0001691086-19-000004	101	Phoenician Offshore Master Fund Ltd.	JOSEPH RIVERA	JOSEPH RIVERA	CHIEF FINANCIAL OFFICER	2019-03-28
0001315863-19-000294	101	Fir Tree Capital Opportunity Fund (Non-US) II, L.P.	/s/ Brian A. Meyer	Brian A. Meyer	Director of the General Partner of the Issuer	2019-03-28
0001735838-19-000001	101	Rivonia Road Fund LP	Daniel Zinn	Daniel Zinn	Managing Member	2019-03-28
0001732426-19-000001	101	FHF Capital Investments Long Term Focus Fund LP	Raul Martinez Sepulveda	Raul Martinez Sepulveda	Managing Member of General Partner	2019-03-28
0001770928-19-000003	101	Launch Angels Partners Fund, LLC	David Goldstein	David Goldstein	General Counsel of Issuer's Sole Manager	2019-03-28
0001591408-19-000008	101	Bluestone Resources Inc.	/S/ PENNY JOHNSON	PENNY JOHNSON	CORPORATE SECRETARY	2019-03-28
0001771983-19-000001	101	Rodaro Group II LP	/s/ Robert Fishman	Robert Fishman	Manager of the General Partner of the Issuer	2019-03-28
0001769240-19-000003	101	Specialized Multifamily Partners U.S. Fund I, L.P.	/s/Andres H. Gonzalez	Andres H. Gonzalez	Authorized Person	2019-03-28
0001067810-19-000001	101	QUICKCLASS, INC.	MICHAEL J. MIRAMONTES	MICHAEL J. MIRAMONTES	PRESIDENT	2019-03-28
0001493152-19-004090	101	Badu Holdings, Inc.	/s/ John Donahue	John Donahue	Chief Financial Officer	2019-03-28
0001407156-19-000002	101	DAFNA Fund LP	Nathan Fischel	Nathan Fischel	General Partner; CEO, DAFNA Capital Management	2019-03-28
0001717904-19-000002	101	G&G Laboratories, Inc	Michael Lui	Michael Lui	Chief Executive Officer	2019-03-28
0001677878-19-000002	101	VEDANTA BIOSCIENCES, INC.	/s/ Bernat Olle	Bernat Olle	Chief Executive Officer	2019-03-28
0001404723-19-000001	101	Ramp Holdings Inc	/S/ THOMAS RACCA	THOMAS RACCA	CHIEF EXECUTIVE OFFCER	2019-03-28
0001771135-19-000001	101	Digital Seat Media LLC	Cameron Fowler	Cameron Fowler	Manager	2019-03-28
0001601455-19-000002	101	BigRentz, Inc.	/s/ Neda Imbimbo	Neda Imbimbo	Chief Financial Officer	2019-03-28
0001162677-19-000025	101	Royale Energy, Inc.	/s/ Donald H. Hosmer	Donald H. Hosmer	Co-Founder	2019-03-28
0001407156-19-000001	101	DAFNA Fund LP	Nathan Fischel	Nathan Fischel	General Partner; CEO, DAFNA Capital Management	2019-03-28
0001711697-19-000001	101	BYBE Inc.	/s/ Andrew Knight	Andrew Knight	Chief Executive Officer	2019-03-28
0001144204-19-016564	101	100 Worth Avenue Unit 605N LLC	/s/ Lee Fernsterstock	Lee Fernsterstock	Managing Member	2019-03-23
